"","LDA","LDA + SOC","PBE","PBE + SOC","PBE_SOL","HLE16","HLE16 + SOC","BJ","mBJ","SCAN","HSE06","HSE14","HSE_mix","PBE0","PBE0_mix"
"357",0.151,0.3032,0.1254,0.2829,0.1357,0.1685,0.3785,0.0705,-0.0114999999999998,0.0318000000000001,-0.4735,-0.4332,-0.6063,-1.0312,-0.7175
"358",0.1982,0.2937,0.146,0.2465,0.184,0.1246,0.2717,0.0561,-0.0617000000000001,-0.00680000000000014,-0.4536,-0.3817,-0.5344,-1.0891,-0.5289
"359",0.7465,0.7557,0.666,0.6902,0.7018,0.3432,0.3359,0.4071,0.1986,0.4196,-0.4154,-0.8047,-0.6481,-0.916,-0.4217
"360",0.3913,0.4012,0.3125,0.3376,0.3512,0.0116000000000001,-0.0107,0.1087,-0.0508,0.0521,-0.5897,-0.9244,-0.7346,-1.1957,-0.5988
"361",0.4097,0.4263,0.3731,0.4048,0.3982,0.0735,0.0833,0.2695,0.1648,0.3088,-0.1993,-0.2585,-0.2292,-0.8431,-0.1847
"362",1.1862,1.1923,1.123,1.134,1.2035,0.00890000000000013,0.0373000000000001,0.7488,0.447,0.8409,0.2675,0.1684,-0.1425,-0.3898,-0.6721
"363",0.9653,1.0263,0.8215,0.8864,0.929,-0.3371,-0.2219,0.4283,-0.1051,0.5218,-0.1705,-0.3027,-0.6605,-0.8222,-1.1902
"364",0.552,0.5841,0.4669,0.5012,0.5361,-0.0660000000000001,0.00750000000000006,0.3346,0.097,0.3199,-0.0583,-0.0677000000000001,-0.1519,-0.6376,-0.2933
"365",0.244,0.3092,0.1549,0.2283,0.2111,-0.222,-0.0874999999999999,0.0143000000000002,-0.2028,0.0278,-0.3601,-0.3848,-0.4084,-0.6043,-0.4225
"366",0.2097,0.0563,0.2529,0.0487,0.2115,-0.0616,0.1418,0.1734,0.0677,0.2257,0.0479,0.0314,0.0429,-0.3683,0.0554
"367",-0.0888,-0.0467000000000004,-0.2436,-0.1981,-0.1601,-1.3505,-1.1883,-0.6163,-1.3057,-0.6407,-1.4248,-1.6615,-2.7541,-2.072,-3.7054
"368",0.1891,0.4925,0.0720000000000001,0.3816,0.1352,-0.2506,0.1987,-0.1066,-0.3405,-0.1435,-0.7031,-0.7468,-0.838,-1.2116,-0.8305
"369",0.9628,1.0251,0.938,0.9905,0.9627,0.0939999999999999,0.1828,0.5695,0.3083,0.6521,0.2486,0.1898,0.2219,-0.3611,0.2612
"370",0.7421,0.8069,0.6156,0.6889,0.7047,0.0139,0.1704,0.4633,0.1024,0.4263,-0.0802,-0.1306,-0.2247,-0.4377,-0.4238
"371",0.4143,0.5499,0.3103,0.4463,0.376,-0.0508999999999999,0.2057,0.1185,-0.1152,0.1289,-0.3463,-0.41,-0.4137,-0.8896,-0.391
"372",0.3761,0.574,0.2645,0.4618,0.3342,-0.1261,0.1985,0.0931,-0.178,0.0792999999999999,-0.4028,-0.4741,-0.4879,-0.9746,-0.5263
"373",0.9,0.9,0.9,0.9,0.9,0.5328,0.5537,0.7132,-0.0182,0.605,-0.00780000000000003,-0.4241,-0.4947,-0.6909,-0.9048
"374",-0.1794,-0.1532,-0.1899,-0.165,-0.1783,-0.1426,-0.1263,-0.0798,-0.2214,-0.2742,-0.3271,0.0417,-0.3361,-0.9675,-0.6343
"375",-0.0899,-0.0332,-0.0821,-0.0269,-0.0777,-0.0365,0.0028,-0.0122,-0.0364,-0.192,-0.2923,-0.0498,-0.3106,-0.9206,-0.5896
"376",0.6531,0.6696,0.5513,0.5672,0.665,-0.3159,-0.2996,0.2684,-0.0294000000000001,0.2958,-0.0311000000000001,-0.0447,-0.0272000000000001,-0.6609,0.0679999999999998
"377",0.97,0.97,0.787999999999999,0.7931,0.9243,0.0617000000000001,0.0694999999999997,0.2094,-0.6349,0.1416,-0.6799,-1.1549,-1.3715,-1.4285,-1.7322
"378",0.7361,0.7406,0.6422,0.6491,0.7248,-0.0755000000000001,-0.0564,0.429,0.1439,0.4145,0.0920999999999998,0.0992,0.0691999999999999,-0.5145,0.0543
"379",1.1188,1.1235,1.0652,1.0701,1.1894,0.3158,0.3228,0.5601,0.1245,0.7044,0.1667,0.0635000000000003,0.0545,-0.5605,0.0762
"380",1.106,1.1108,0.9814,0.9864,1.1413,0.00119999999999987,0.00629999999999997,0.5017,-0.0442,0.6065,0.0722,-0.0655999999999999,-0.0356000000000001,-0.4978,0.0735000000000001
"381",1.0267,1.0314,0.9684,0.9732,1.0855,0.2665,0.2726,0.4938,0.0900000000000003,0.6018,0.0254000000000003,-0.0978999999999997,-0.0903999999999998,-0.68,-0.0276999999999998
"382",0.9043,0.9092,0.8485,0.8534,0.9624,0.1517,0.1577,0.3902,-0.0308000000000002,0.494,-0.0649000000000002,-0.1795,-0.1782,-0.7751,-0.1341
"383",3.1268,3.129,2.8807,2.8873,3.0027,1.3577,1.3409,2.0732,0.666,2.3186,1.0269,0.1775,-0.8155,0.359500000000001,-1.5456
"384",1.2021,1.2023,1.0918,1.0996,1.1869,0.3713,0.3715,1.0041,0.8028,0.9205,0.4985,0.5132,0.4796,0.00769999999999982,0.5923
"385",0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.0939,0.094,0.094,-0.0762,-0.0264,-0.3225,0.065
"386",1.1137,1.2227,1.0576,1.1711,1.1031,0.784,1.0803,0.9584,0.825,0.9099,0.6392,0.674,0.5832,0.2148,0.5094
"387",1.234,1.3117,1.1245,1.1985,1.2074,0.1715,0.3185,0.7978,0.5281,0.7759,0.4062,0.3703,0.185,-0.1675,-0.1092
"388",0.9016,0.9515,0.7429,0.7931,0.8528,-0.349600000000001,-0.2592,0.4221,-0.0139,0.3891,-0.1075,-0.1734,-0.4698,-0.5236,-0.9008
"389",2.3933,2.3903,2.255,2.2636,2.3507,1.9817,1.9791,1.6014,0.3706,1.6595,0.4624,-0.519,-1.2534,-0.2371,-1.916
"390",0.5286,0.5426,0.5013,0.515,0.5509,-0.1384,-0.1134,0.2855,0.2166,0.316,0.158,0.2356,0.1018,-0.3438,-0.1078
"391",1.2467,1.2471,1.0512,1.0567,1.145,0.5671,0.5707,1.0142,0.4306,0.8093,0.1663,0.0175000000000001,-0.1004,-0.3677,-0.1898
"392",0.38,0.4047,0.2987,0.3227,0.3631,-0.2069,-0.2104,0.0499000000000001,-0.1094,0.0811000000000001,-0.1333,-0.0949,-0.1709,-0.6469,-0.3177
"393",0.4277,0.4516,0.2782,0.3073,0.3553,-0.2744,-0.232,0.1563,-0.2764,0.0513,-0.4299,-0.5135,-0.5828,-0.9827,-0.6828
"394",0.2699,0.1116,0.2734,0.1195,0.2277,-0.172,0.1379,0.1986,0.1731,0.2808,0.2556,0.3528,0.2526,-0.2791,0.0478
"395",0.2368,0.2331,0.1214,0.1164,0.1871,-0.437,-0.449,-0.1911,-0.8993,-0.075,-0.9602,-1.3691,-1.9036,-1.3041,-2.5293
"396",1.4589,1.4597,1.3725,1.374,1.4179,1.5681,1.5722,1.2477,0.5856,0.9994,-0.0909,-0.838,-1.3061,-0.8645,-1.9266
"397",1.4062,1.4065,1.3181,1.3202,1.3651,1.5169,1.4849,1.1855,0.5204,0.9529,-0.1319,-0.8709,-1.3691,-0.7243,-1.9208
"398",0.3203,0.4689,0.1917,0.3378,0.2743,-0.6965,-0.1799,-0.1477,-0.7047,-0.126,-0.9459,-1.2516,-1.5715,-1.6153,-2.061
"399",2.5985,2.5999,2.1426,2.1444,2.345,0.3221,0.2862,1.5677,0.2623,1.5844,0.8439,0.4796,0.1038,0.2452,-0.3793
"400",-0.4478,-0.447,-0.5001,-0.4945,-0.4774,-0.249,-0.2665,-0.6048,-1.0375,-0.7866,-1.9259,-2.4736,-3.4743,-2.692,-4.359
"401",1.4672,1.4942,1.432,1.4791,1.4845,1.0016,1.0358,1.1841,1.1778,1.1747,0.0920999999999998,-0.52,-0.7456,-0.6065,-0.638
"402",2.9899,2.995,2.5972,2.5995,2.7611,-0.0329999999999995,-0.00399999999999956,1.4755,-0.607700000000001,2.0904,0.536799999999999,-0.6288,-2.1063,-0.120100000000001,-2.8369
"403",0.4354,0.4336,0.3969,0.3959,0.4282,0.1044,0.0827,0.3203,0.193,0.2703,0.0278999999999999,0.0952,0.00619999999999998,-0.5459,-0.104
"404",-0.0854000000000004,-0.0714999999999999,-0.1386,-0.1228,-0.1003,0.0600000000000001,0.0689000000000002,-0.4134,-0.9898,-0.5572,-1.642,-2.2196,-3.1095,-2.0081,-3.8449
"405",2.9909,3.0114,2.8356,2.8556,2.9428,1.4638,1.4827,2.2359,1.1728,2.3681,1.3482,0.7607,0.3367,0.821499999999999,-0.144500000000001
"406",0.9114,0.9233,0.8917,0.8933,0.9061,0.8063,0.8015,0.9122,0.6519,0.8444,0.3099,0.1545,-0.3641,-0.1592,-0.9122
"407",2.0797,2.1164,1.8679,1.9035,1.9997,0.4857,0.5212,1.6015,0.8074,1.4434,0.8888,0.751500000000001,0.657,0.221,0.4732
"408",1.8045,1.9414,1.6449,1.7775,1.7515,0.3174,0.4616,1.3311,0.7301,1.1949,0.7692,0.6711,0.6313,0.1133,0.5194
"409",0.8635,0.8641,0.6414,0.6629,0.7394,0.2586,0.2576,-0.0152999999999999,-1.4843,0.1671,-1.3032,-2.336,-3.0622,-1.5723,-3.7776
"410",2.0992,2.0979,1.9824,1.9853,2.0531,1.9163,1.9049,1.5667,0.5087,1.4492,0.421,-0.4054,-0.8833,-0.1432,-1.3575
"411",1.8291,1.9353,1.6666,1.7962,1.7649,1.3668,1.5443,1.3966,0.1397,1.346,0.3837,-0.1496,-0.4533,-0.2914,-0.9419
"412",1.5182,1.5343,1.4251,1.4423,1.4758,1.5482,1.5675,1.2887,0.6002,1.0636,-0.0261,-0.7709,-1.3008,-0.6902,-1.8105
"413",-0.0679000000000001,-0.0283,-0.1396,-0.1005,-0.0638000000000001,-0.4029,-0.3466,-0.2218,-0.7151,-0.5324,-0.9522,-1.1473,-1.1689,-1.5678,-1.2992
"414",0.8441,0.8779,0.7197,0.7586,0.8005,0.646,0.7111,0.5,-0.3914,0.4247,-0.399,-0.7099,-1.1574,-1.0296,-1.6619
"415",0.9993,1.1066,0.9234,1.0365,0.9939,0.591,0.7012,0.6246,0.2006,0.6545,-0.1623,-0.4513,-0.9047,-0.8162,-1.4768
"416",0.5088,0.62,0.426,0.5463,0.4966,0.0319000000000003,0.1834,0.0809000000000002,-0.3735,0.1164,-0.724,-1.0693,-1.4934,-1.1873,-1.7611
"417",1.5875,1.6912,1.496,1.6058,1.5476,2.6268,2.8763,1.0179,0.367900000000001,0.9794,-0.2325,-0.93,-1.2632,-0.8548,-1.6857
"418",1.3993,1.5221,1.2605,1.3834,1.3775,0.9857,1.2288,0.9882,0.3915,0.8066,0.2999,0.1178,0.0673000000000004,-0.3796,-0.0719999999999996
"419",1.0089,1.2533,0.9203,1.1641,1.0057,0.8225,1.2237,0.6274,0.213,0.4544,0.0935999999999999,-0.0531000000000001,-0.0504,-0.579,-0.1432
"420",1.3635,1.2301,1.3208,1.2281,1.3827,1.0627,1.3511,1.0454,0.8065,0.9698,0.7248,0.6834,0.6752,0.0861000000000001,0.6111
"421",0.9509,0.956,0.8693,0.8752,0.9055,1.0208,1.0219,0.8015,0.0663999999999998,0.5297,-0.627,-1.4451,-2.2654,-1.2447,-2.9055
"422",1.3354,1.3357,1.2378,1.2397,1.2836,1.4146,1.4057,1.1457,0.4052,0.868,-0.2469,-1.0642,-2.0166,-0.897600000000001,-2.7171
"423",1.3575,1.4326,1.1684,1.2552,1.2809,0.0129000000000001,0.1056,0.8346,0.4507,0.9611,0.4299,0.4871,0.2835,-0.0865,0.0273000000000003
"424",1.0518,1.1305,0.9311,1.0142,1.0022,-0.0315000000000001,0.0649,0.6551,0.4225,0.7923,0.0834999999999999,-0.1212,-0.1532,-0.5105,-0.328
"425",0.3258,0.4698,0.2344,0.368,0.2811,-0.1019,0.1059,0.0535000000000001,-0.1745,0.1107,-0.359,-0.3974,-0.5696,-0.6855,-0.6691
"426",0.00590000000000002,0.2506,-0.0916000000000001,0.1605,-0.0411000000000001,-0.3572,0.0192999999999999,-0.2601,-0.4071,-0.2555,-0.6472,-0.6418,-0.7477,-1.2597,-0.7958
"427",0.5149,0.5858,0.4108,0.4876,0.4841,-0.1926,-0.1034,0.2429,0.0296000000000001,0.2038,-0.1333,-0.0928,-0.257,-0.7344,-0.5377
"428",1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2825,0.9393,1.1151
"429",0.9282,1.2452,0.7763,1.0891,0.878,-0.24,-0.0161000000000002,0.4008,-0.00310000000000032,0.4207,0.1668,0.194,0.0749999999999997,-0.0815000000000001,0.0900999999999996
"430",1.0038,1.4862,0.8118,1.3188,0.9388,-0.8473,-0.0939999999999999,0.3002,-0.1722,0.3933,0.1238,0.1068,-0.0339,-0.4942,-0.3946
"431",1.263,1.5369,1.0454,1.3309,1.1856,-0.7074,-0.1231,0.5295,-0.137,0.6394,0.2579,0.2181,-0.00349999999999984,-0.3839,-0.471
"432",0.9525,1.0205,0.866,0.936,0.916,0.1477,0.2644,0.5843,0.4005,0.584,0.3608,0.4245,0.3195,-0.2159,0.1929
"433",0.6328,1.3928,0.4764,1.2461,0.5759,-1.035,-0.00449999999999973,0.00099999999999989,-0.3366,0.1954,-0.1409,-0.0396000000000001,-0.1985,-0.7391,-0.4556
"434",0.9901,1.4271,0.8503,1.2885,0.9485,-0.5119,0.2141,0.4796,0.1503,0.4488,0.262,0.3072,0.1649,-0.2846,-0.0546000000000002
"435",1.1477,1.4401,0.9725,1.2697,1.086,-0.7353,-0.0786000000000002,0.5354,0.1601,0.636,0.3969,0.4931,0.2768,-0.2212,-0.1481
"436",1.19,1.19,1.19,1.19,1.19,0.7393,0.7397,1.1124,0.9656,1.0698,0.7601,0.8164,0.6982,0.1647,0.471
"437",0.6317,0.7019,0.5318,0.6037,0.5911,-0.1341,-0.00990000000000002,0.3048,0.11,0.2376,0.0303,0.0776,-0.00630000000000008,-0.5505,-0.1085
"438",0.8505,0.8704,0.7198,0.7472,0.7988,0.1693,0.1697,0.574,0.2223,0.5268,0.0178,-0.0306,-0.1688,-0.6187,-0.442
"439",0.7414,0.8143,0.6136,0.6877,0.7087,0.0557000000000001,0.0891,0.4236,-0.0653999999999999,0.3755,0.1105,0.157,0.00190000000000001,-0.5122,-0.3332
"440",0.3341,0.421,0.2412,0.3093,0.3019,-0.2451,-0.1524,0.0760000000000001,-0.2713,-0.0491999999999999,-0.2351,-0.1738,-0.2929,-0.8246,-0.5801
"441",0.85,0.85,0.85,0.85,0.85,0.4166,0.6244,0.7811,0.5637,0.6837,0.4202,0.3872,0.3674,-0.1681,0.2748
"442",0.7161,0.73,0.6194,0.6514,0.6822,0.0723,0.0895,0.4426,0.2123,0.4035,0.0580999999999999,0.0473,-0.0511,-0.5437,-0.2648
"443",0.3953,0.3959,0.3401,0.3438,0.3838,0.1302,0.1113,0.2953,0.1296,0.1369,-0.1941,-0.1345,-0.3335,-0.8341,-0.6203
"444",0.3345,0.3368,0.2707,0.2742,0.3038,0.2902,0.2896,0.2842,0.0441,0.0370000000000001,-0.5343,-0.6729,-0.7863,-0.9905,-0.9255
"445",0.4417,0.4863,0.353,0.4047,0.4,-0.0390999999999999,0.0446000000000002,0.3141,0.1605,0.2428,-0.1831,-0.1422,-0.2527,-0.8076,-0.3917
"446",0.3122,0.3845,0.2513,0.3252,0.289,-0.1443,0.0501,0.1674,0.0669999999999999,0.0997999999999999,-0.2275,-0.162,-0.257,-0.8047,-0.2868
"447",3.4935,3.6912,3.0283,3.4743,3.1926,0.413699999999999,0.917199999999999,2.4264,1.1406,2.3587,1.9111,1.72,1.4203,1.373,0.903099999999998
"448",4.8519,4.7719,4.6593,4.6681,4.7439,4.2794,4.2909,4.0166,3.0696,3.8457,2.2976,1.0063,-0.4518,1.5282,-0.263299999999999
"449",-0.1153,-0.0857,-0.1357,-0.1055,-0.1232,-0.0853,-0.0453,-0.0035,-0.1846,-0.251,-0.2831,0.0321,-0.2875,-0.8996,-0.521
"450",-0.1187,0.0787,-0.2549,-0.0573,-0.2181,-0.1262,0.0722,-0.1675,-0.4451,-0.0651,-0.7635,-0.5736,-0.7828,-1.3929,-0.9716
"451",1.1513,1.1939,0.9764,1.0178,1.0776,-0.0345,-0.00850000000000017,0.751,0.181,0.5701,0.0089999999999999,-0.1308,-0.1842,-0.5746,0.0448
"452",0.8186,0.8313,0.7021,0.72,0.7653,0.1626,0.1771,0.592,0.2212,0.5296,0.0626,0.0155999999999999,-0.0790000000000001,-0.539,-0.3006
"453",0.7564,0.8892,0.5208,0.6532,0.6225,-0.3022,-0.1663,0.1778,-0.5573,0.1422,-0.5039,-0.8323,-0.8052,-1.1019,-0.9779
"454",0.3971,0.6802,0.2921,0.5705,0.3553,-0.4505,-0.1244,0.0133000000000001,-0.2957,0.103,-0.3399,-0.3791,-0.4416,-0.9487,-0.6313
"455",1.0549,1.1313,0.8557,0.9321,0.9131,0.5491,0.6308,0.6475,-0.032,0.6963,0.000899999999999901,-0.3191,-0.2118,-0.5597,-0.3161
"456",1.5946,1.5961,1.6033,1.6078,1.6468,0.7008,0.7013,0.9161,0.4533,1.3171,0.236,-0.311,-0.668800000000001,-0.42,-1.1664
"457",0.8543,0.8662,0.7126,0.7264,0.7839,0.1674,0.1768,0.5241,0.1064,0.4804,-0.0484,-0.0735999999999999,-0.2028,-0.6773,-0.4514
"458",0.4354,0.7183,0.2433,0.5207,0.3359,-0.4513,-0.1521,-0.0151000000000001,-0.5519,0.0194000000000001,-0.5815,-0.7589,-0.7429,-1.1665,-0.8555
"459",2.6996,2.7186,2.6356,2.6568,2.7398,0.4059,0.4087,1.5866,0.8842,2.2983,0.9284,-0.0373000000000001,-0.6892,0.3046,-1.3736
"460",0.7536,0.7541,0.6514,0.6572,0.7296,-0.00170000000000003,-0.000600000000000156,0.4978,0.1547,0.3924,-0.0597000000000001,-0.0722,-0.2189,-0.701,-0.4294
"461",1.8177,1.8397,1.5764,1.5977,1.714,-0.0131000000000001,0.0162,0.9992,0.0753999999999997,1.0972,0.3406,-0.0990000000000002,-0.1278,-0.3147,-0.4378
"462",1.9743,1.9961,1.7289,1.75,1.8653,0.1702,0.1995,1.1628,0.244,1.2467,0.4965,0.0604,0.028,-0.146199999999999,-0.2669
"463",0.4585,0.4779,0.3702,0.3909,0.4065,-0.0778,0.0111,0.1869,-0.1135,0.3585,-0.1641,-0.2024,-0.2027,-0.6815,-0.204
"464",1.7733,1.9031,1.5146,1.6405,1.6346,0.1899,0.3378,1.0056,0.1249,1.1096,0.4004,-0.0366,0.0598999999999998,-0.2201,-0.1628
"465",0.8869,0.9475,0.7909,0.8509,0.8913,0.4825,0.5512,0.4656,0.1788,0.566,0.1802,0.1632,0.1028,-0.442,-0.0501
"466",0.823,0.8274,0.6996,0.7051,0.8213,-0.3236,-0.2869,0.4446,0.0869,0.4577,0.0178,-0.0169999999999999,-0.0758000000000001,-0.591,-0.1567
"467",0.7316,0.7381,0.6162,0.7169,0.6915,0.1895,0.2952,0.4118,-0.2465,0.4623,-0.1881,-0.4714,-0.3686,-0.7581,-0.4821
"468",2.3732,2.3831,2.2913,2.3056,2.3776,1.3841,1.3623,1.5731,0.6752,1.7828,0.5385,-0.4674,-1.0717,0.0145999999999997,-1.7142
"469",0.8889,0.9106,0.6975,0.7207,0.7787,0.1554,0.1748,0.4357,-0.1667,0.411,-0.191,-0.4273,-0.399,-0.8088,-0.516
"470",0.3811,0.4,0.3833,0.3927,0.383,0.3183,0.3883,0.3799,-0.1282,0.3824,-0.2407,-0.4691,-0.3733,-0.7901,-0.4387
"471",0.9439,0.9581,0.8848,0.8988,0.9567,0.5991,0.5753,0.8074,0.3909,0.5165,0.1036,-0.0199,-0.0997000000000001,-0.4687,-0.2111
"472",0.8521,1.0059,0.8225,0.9693,0.8769,0.497,0.6135,0.6466,0.3649,0.4639,0.1587,0.0657999999999999,0.0411999999999999,-0.4143,-0.0398000000000001
