"","DOD-PBE-D4-ATM","DOD-PBE-D4-MBD","DOD-PBE-D3","DSD-PBE-D4-ATM","DSD-PBE-D4-MBD","DSD-PBE-D3","B3LYP-D4-ATM","B3LYP-D4-MBD","B3LYP-D3","PBE0-D4-ATM","PBE0-D4-MBD","PBE0-D3","PW6B95-D4-ATM","PW6B95-D4-MBD","PW6B95-D3","CAM-B3LYP-D4-ATM","CAM-B3LYP-D4-MBD","CAM-B3LYP-D3","revPBE-D4-ATM","revPBE-D4-MBD","revPBE-D3","M06L-D4-ATM","M06L-D4-MBD","M06L-D3","PBE-D4-ATM","PBE-D4-MBD","PBE-D3","RPBE-D4-ATM","RPBE-D4-MBD","RPBE-D3"
"1",3.1,3.2,4.3,5.3,5.3,6.6,-2.6,-2.5,-2.1,1.5,1.5,1.6,-1.3,-1.3,-1.7,-3,-3,-3,1.4,1.5,1,-2.1,-2.1,-2.4,3.6,3.7,3.5,1.3,1.3,5.9
"2",5,5.2,6.1,7.6,7.6,8.8,-4.7,-4.6,-4.3,0.799999999999997,0.799999999999997,0.799999999999997,-3.7,-3.6,-4.1,-3.9,-3.9,-3.9,1,1,0.399999999999999,-1.5,-1.5,-1.7,3.4,3.4,3.3,0.699999999999996,0.699999999999996,5
"3",8.2,8.4,9,11.8,11.8,12.7,-4.8,-4.7,-4.6,-1.2,-1.2,-1.2,-5,-5,-5.4,-4.4,-4.4,-4.5,1.4,1.5,0.799999999999997,-0.5,-0.5,-0.700000000000003,3.9,3.9,3.7,1.2,1.2,4.2
"4",-2.2,-2,-1.5,-4,-4,-3.1,3.7,3.90000000000001,4,8.8,8.8,8.90000000000001,0.5,0.5,-0.100000000000001,1.90000000000001,1.90000000000001,1.7,11.1,11.3,9.90000000000001,2.40000000000001,2.40000000000001,2.2,12.6,12.7,12.5,11.5,11.5,13.9
"5",0.8,1,1.4,0,0,0.7,3.8,3.8,3.6,6.3,6.3,6.1,2.7,2.6,2.1,1,1,0.7,10.5,10.4,9.1,6.4,6.4,6.2,11.1,11.1,10.7,10.9,10.9,12.3
"6",-1.4,-1.4,-2.7,-0.200000000000003,-0.200000000000003,-1.2,-5.7,-5.7,-7.2,-2.1,-2.1,-2.8,-3.3,-3.4,-4.3,-3.6,-3.6,-4.5,-5.2,-5.2,-7.6,-5,-5,-5,-2.7,-2.7,-3.5,-5.4,-5.4,-11.5
"7",-1.9,-2,-3.7,-1.4,-1.4,-2.9,-4.1,-4.2,-4.9,-0.5,-0.5,-0.899999999999999,0.300000000000001,-0.199999999999999,-1.2,-2.1,-2.1,-2.8,-3.3,-3.3,-4.9,0.600000000000001,0.600000000000001,0.600000000000001,-1.3,-1.4,-1.5,-4.1,-4.1,-11.9
"8",-3.7,-3.5,-3.8,-4,-4,-3.9,-4.4,-4.3,-5.4,-1.2,-1.2,-1.9,-5,-4.8,-5.9,-1.4,-1.4,-2.4,-3,-2.9,-4.9,-9.5,-9.5,-9.7,-2.8,-2.7,-3.5,-3.1,-3.1,-3.6
"9",-4.3,-4.2,-6.4,-4.6,-4.6,-5.6,-4.5,-4.5,-6.9,-2.7,-2.7,-3.8,-6.3,-6.5,-8.8,-1,-1,-2.3,-4.8,-5,-9.1,-11.6,-11.6,-10.6,-2.8,-2.9,-3.8,-3.5,-3.5,-8.3
"10",-0.700000000000003,-0.5,0.599999999999998,0.699999999999999,0.699999999999999,2,-6.2,-6,-6.2,-3.2,-3.2,-3.5,-7.1,-7,-7.9,-6.8,-6.8,-7.3,2,2.1,0.699999999999999,-9.4,-9.4,-9.9,1.9,2,1.3,2,2,5.5
"11",2.3,2.3,4.4,4,4,5.6,-3,-3.1,-1.2,-3.9,-3.9,-3.2,-5.8,-6,-5.3,-6.6,-6.6,-6.1,2.8,2.5,4.3,-3.7,-3.7,-4.3,2,2,2.4,2.6,2.6,8.8
"12",3.6,3.7,3,5.7,5.7,5.4,-5.2,-5.2,-7,0.0999999999999979,0.0999999999999979,-0.900000000000002,-1.4,-1.6,-3.1,-5.5,-5.5,-6.8,0.800000000000001,0.599999999999998,-3,-5.1,-5.1,-5.5,1,0.899999999999999,-0.400000000000002,1,1,-3.8
"13",2.59999999999999,2.8,3.9,4.5,4.5,6,-5.2,-5.1,-5.3,0.699999999999996,0.699999999999996,0.399999999999999,-2.3,-2.5,-3.40000000000001,-4.8,-4.8,-5.3,1.59999999999999,1.5,-0.300000000000004,-3.40000000000001,-3.40000000000001,-3.8,2,2,1.5,1.7,1.7,5.7
"14",1.7,2,3.6,3.1,3.1,4.7,-8.2,-8,-8.4,-1.1,-1.1,-1.5,-4.1,-3.9,-4.6,-7.9,-7.9,-8.5,-0.799999999999997,-0.700000000000003,-2.5,-2,-2,-2.8,0.299999999999997,0.5,-0.600000000000001,-0.799999999999997,-0.799999999999997,3.5
"15",-11.6,-11.4,-12.2,-15.9,-15.9,-16.2,0.9,1,0.100000000000001,0.7,0.7,0.300000000000001,-0.2,-0.0999999999999996,-1,5.5,5.5,5,-6,-5.8,-8.1,-9.5,-9.5,-9.6,-5.3,-5.2,-5.8,-5.3,-5.3,-7.9
"16",0.5,1,2.90000000000001,0.5,0.5,1.90000000000001,-0.5,0,-0.0999999999999943,0.600000000000001,0.600000000000001,0.200000000000003,0.200000000000003,0.700000000000003,-0.0999999999999943,-0.799999999999997,-0.799999999999997,-1.59999999999999,1.90000000000001,2.2,0.600000000000001,2.5,2.5,0.800000000000004,-0.299999999999997,0.100000000000001,-1.3,0.700000000000003,0.700000000000003,2.40000000000001
"17",-2.2,-2.1,-4.9,-2.1,-2.1,-4.3,-1.6,-1.5,-6.2,-2.4,-2.4,-4.9,-0.900000000000002,-0.900000000000002,-3.6,0.0999999999999979,0.0999999999999979,-3,-1.3,-1.2,-8.3,2.1,2.1,1.6,-1.7,-1.6,-4.4,-1.5,-1.5,-14
"18",-0.200000000000003,0.199999999999996,2.8,-0.5,-0.5,2,-2.4,-2.2,-2.5,-0.900000000000006,-0.900000000000006,-1.40000000000001,-4.8,-4.9,-3.3,-4,-4,-4.4,0.599999999999994,0.299999999999997,-1.3,-9.5,-9.5,-10.3,-1.7,-1.6,-3.2,1.8,1.8,10.5
"19",-0.200000000000003,0.199999999999996,2.9,-0.700000000000003,-0.700000000000003,1.8,-2.9,-2.7,-3,-1.4,-1.4,-2.1,-5.6,-5.6,-3.9,-3.7,-3.7,-4.2,-1.1,-1.6,-2.9,-11.3,-11.3,-12.4,-3.8,-3.7,-5.5,-0.200000000000003,-0.200000000000003,8.5
"20",-0.699999999999999,-0.399999999999999,1.6,-1.4,-1.4,0.699999999999999,-1,-0.800000000000001,-1.6,-1.6,-1.6,-2.4,-3.1,-3.3,-3.5,-2,-2,-2.9,1,0.699999999999999,-1.5,-5.6,-5.6,-6.6,-2.1,-2.1,-3.7,2,2,7.8
"21",2.1,2.6,3.5,0.700000000000001,0.700000000000001,2.2,3.4,3.7,1.4,3.6,3.6,2,0.9,1,0.9,-0.699999999999999,-0.699999999999999,-2.3,8.8,8.6,3.8,-1.4,-1.4,-2.4,5.3,5.5,2.9,10.1,10.1,12.9
"22",3.1,3.5,5.7,4.4,4.4,6.7,-3.6,-3.3,-5.3,-2.4,-2.4,-3.8,-9.8,-9.3,-6.6,-8.5,-8.5,-9.4,1.6,1.2,-0.699999999999996,-14.1,-14.1,-15.2,-0.699999999999996,-0.5,-3.4,2.6,2.6,12.9
"23",0.100000000000001,0.600000000000001,3.9,-0.200000000000003,-0.200000000000003,2.9,-3.8,-3.6,-3.2,-2.4,-2.4,-2.7,-8.2,-8.3,-4.7,-6,-6,-5.8,-2.8,-3.4,-3.5,-14.2,-14.2,-15.2,-4.8,-4.7,-6.5,-1.2,-1.2,10.6
"24",-1.4,-0.5,3.6,-1.7,-1.7,1.1,-0.800000000000004,0.100000000000001,1.3,-0.300000000000004,-0.300000000000004,0.100000000000001,-1.9,-0.399999999999999,0.399999999999999,-0.899999999999999,-0.899999999999999,-0.600000000000001,-2.5,-1.6,-0.5,-2.6,-2.6,-4.8,-4.8,-4,-5.3,-3.5,-3.5,5.9
"25",-0.699999999999996,0.399999999999999,4.6,-0.5,-0.5,2.2,-0.5,0.5,1.1,-0.299999999999997,-0.299999999999997,-0.299999999999997,-2.9,-1.2,-0.799999999999997,-0.899999999999999,-0.899999999999999,-1.2,-2.4,-1.2,-0.5,-1.9,-1.9,-4.8,-4.5,-3.6,-5.5,-4.3,-4.3,4.7
"26",-1.5,-1.2,0.700000000000003,-3.1,-3.1,-1.7,6,6.2,7.2,2.1,2.1,2.6,-2.9,-2.2,-0.799999999999997,5.7,5.7,6.5,-0.899999999999999,-0.799999999999997,1.2,-2.7,-2.7,-3.4,-1.5,-1.3,-1.5,-0.799999999999997,-0.799999999999997,5.4
"27",-0.699999999999999,-0.600000000000001,0.899999999999999,-2,-2,-0.800000000000001,5,5.2,5.7,3.3,3.3,3.7,-0.400000000000002,0.300000000000001,1.9,5.6,5.6,6.4,-0.300000000000001,-0.100000000000001,2.3,0.399999999999999,0.399999999999999,0.300000000000001,0.0999999999999979,0.300000000000001,0.199999999999999,0,0,8.3
"28",-0.399999999999999,-0.199999999999996,1.6,-1.7,-1.7,-0.299999999999997,5.40000000000001,5.6,6.2,2.90000000000001,2.90000000000001,3.2,-2,-1.4,0.300000000000004,5.5,5.5,6.3,-0.299999999999997,-0.0999999999999943,1.8,-2.4,-2.4,-2.8,-0.799999999999997,-0.599999999999994,-0.899999999999999,0,0,7.90000000000001
"29",0.399999999999999,0.599999999999998,2,-0.400000000000002,-0.400000000000002,0.899999999999999,4.5,4.7,4.7,1.7,1.7,1.7,-2.2,-1.6,-0.900000000000002,3.8,3.8,4.1,0.599999999999998,0.800000000000001,1.4,-2.6,-2.6,-2.9,-0.600000000000001,-0.5,-0.900000000000002,0.699999999999999,0.699999999999999,7.2
"30",1.1,1.3,2.3,0,0,0.9,6.9,7.2,6.7,1.4,1.4,1.2,-5,-4.3,-3.3,2.5,2.5,2.8,8.3,8.3,8.7,-2.5,-2.5,-2.7,5,5.2,4.3,8.7,8.7,13.8
"31",-0.5,-0.0999999999999979,1.3,-1.3,-1.3,0.200000000000003,2.9,3.3,3.5,-0.5,-0.5,-0.199999999999999,-4.5,-3.5,-2.7,3.4,3.4,4.2,-1.9,-1.5,-0.599999999999998,-6.1,-6.1,-6,-3.3,-3,-3.3,-1,-1,6.6
"32",0.1,0.1,0.1,0.4,0.4,0.2,-2,-2,-2.8,-2.1,-2.1,-2.6,-0.7,-0.8,-0.4,-2.4,-2.4,-2.7,-1.4,-1.6,-1.9,-3.3,-3.3,-3.3,-2.8,-2.8,-3.4,-1.4,-1.4,-1.5
"33",-4,-4,-4.9,-6.5,-6.5,-7.9,8.2,8.3,7.2,-1.3,-1.3,-1.9,-0.199999999999999,0,0,7.8,7.8,7.4,-0.199999999999999,-0.0999999999999996,-0.699999999999999,1.4,1.4,1.1,-1.2,-1.1,-1.9,-0.6,-0.6,-5.5
"34",-2.7,-2.6,-1.8,-4.6,-4.6,-4.3,4.7,4.9,4.9,-0.5,-0.5,-0.600000000000001,-1.5,-1.2,-0.200000000000003,3,3,3.2,-0.5,-0.5,0.299999999999997,-3.5,-3.5,-3.9,-1.8,-1.7,-2.3,-0.600000000000001,-0.600000000000001,1.4
"35",-2.6,-2.5,-1,-4.3,-4.3,-3.5,3.7,3.8,4.2,-1.1,-1.1,-1,-2.2,-1.9,0.100000000000001,1.8,1.8,2.4,-1.8,-1.9,-0.599999999999998,-7.3,-7.3,-7.7,-2.8,-2.7,-3.3,-1.7,-1.7,3.2
"36",0.400000000000006,0.600000000000001,2.40000000000001,0.200000000000003,0.200000000000003,1.3,-0.399999999999999,-0.299999999999997,1.1,-4.9,-4.9,-4.5,-6.3,-6.3,-2.59999999999999,-3.3,-3.3,-2.09999999999999,-6.2,-6.59999999999999,-3.8,-10,-10,-10.2,-7,-6.9,-7,-5.5,-5.5,1.7
"37",2.9,3.4,3.4,2,2,2.6,19,19.4,19.7,9.3,9.3,9.4,5.6,6.2,5.3,12.7,12.7,12.9,15.7,16.4,14.1,12.4,12.4,12.1,15.8,16,15.8,16.3,16.3,17.1
"38",3.69999999999999,4.19999999999999,11.9,3,3,9.59999999999999,7.8,8.19999999999999,14.1,4.69999999999999,4.69999999999999,7.39999999999999,-4.8,-3.90000000000001,-0.400000000000006,2.59999999999999,2.59999999999999,5.59999999999999,8.59999999999999,8.59999999999999,14.1,-5.3,-5.3,-7.00000000000001,4.09999999999999,4.39999999999999,5.59999999999999,9.5,9.5,35
"39",-0.600000000000001,0,1.9,-0.199999999999996,-0.199999999999996,2.4,-5.7,-5.4,-7.2,-3.2,-3.2,-4.4,-2.9,-2.7,-3.4,-3.1,-3.1,-4.1,-7.2,-7.1,-11.1,-7.8,-7.8,-8.3,-6.9,-6.7,-8.8,-5.3,-5.3,4.9
"40",-0.599999999999994,-0.399999999999991,2.40000000000001,-0.899999999999991,-0.899999999999991,1.90000000000001,0.600000000000009,0.700000000000003,1.40000000000001,3.2,3.2,3.40000000000001,0.400000000000006,0.400000000000006,1.10000000000001,0.100000000000009,0.100000000000009,0.400000000000006,0.900000000000006,0.700000000000003,0.600000000000009,-0.799999999999997,-0.799999999999997,-1.09999999999999,2.60000000000001,2.7,2.3,1.60000000000001,1.60000000000001,13.6
"41",-0.8,-0.9,-1.8,-1.1,-1.1,-2.5,3.1,3.1,3.5,-0.2,-0.2,0.2,-2.2,-1.8,-1,2.7,2.7,3.4,-1.9,-1.8,1.1,1.5,1.5,1.7,-0.4,-0.3,0.4,-2.1,-2.1,-5.8
